序号;片名;评分;导演;主演;一句话点评
97;哈利·波特与死亡圣器(下);8.8;大卫·叶茨;丹尼尔·雷德克里夫;10年的完美句点。
98;杀人回忆;8.8;奉俊昊;宋康昊;关于连环杀人悬案的集体回忆。
99;狩猎;9.1;托马斯·温特伯格;麦斯·米科尔森;人言可畏。
100;请以你的名字呼唤我;8.9;卢卡·瓜达尼诺;艾米·汉莫;沉醉在电影的情感和视听氛围中无法自拔。
101;幽灵公主;8.9;宫崎骏;松田洋治;人与自然的战争史诗。
102;阳光灿烂的日子;8.8;姜文;夏雨;一场华丽的意淫。
103;小森林 夏秋篇;9.0;森淳一;桥本爱;那些静得只能听见呼吸的日子里，你明白孤独即生活。
104;重庆森林;8.7;王家卫;林青霞;寂寞没有期限。
105;入殓师;8.8;泷田洋二郎;本木雅弘;死可能是一道门，逝去并不是终结，而是超越，走向下一程。
106;第六感;8.9;M·奈特·沙马兰;布鲁斯·威利斯;深入内心的恐怖，出人意料的结局。
107;7号房的礼物;8.9;李焕庆;柳承龙;《我是山姆》的《美丽人生》。
108;红辣椒;9.0;今敏;林原惠美;梦的勾结。
109;消失的爱人;8.7;大卫·芬奇;本·阿弗莱克;年度最佳date movie。
110;小森林 冬春篇;9.0;森淳一;桥本爱;尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
111;爱在黎明破晓前;8.8;理查德·林克莱特;伊桑·霍克;缘分是个连绵词，最美不过一瞬。
112;一一;9.0;杨德昌;吴念真;我们都曾经是一一。
113;侧耳倾听;8.9;近藤喜文;本名阳子;少女情怀总是诗。
114;唐伯虎点秋香;8.6;李力持;周星驰;华太师是黄霑，吴镇宇四大才子之一。
115;超脱;8.9;托尼·凯耶;艾德里安·布洛迪;穷尽一生，我们要学会的，不过是彼此拥抱。
116;玛丽和马克思;8.9;亚当·艾略特;托妮·科莱特;你是我最好的朋友，你是我唯一的朋友 。
117;倩女幽魂;8.7;程小东;张国荣;两张绝世的脸。 
118;蝙蝠侠：黑暗骑士崛起;8.8;克里斯托弗·诺兰;克里斯蒂安·贝尔;诺兰就是保证。
119;告白;8.7;中岛哲也;松隆子;没有一人完全善，也没有一人完全恶。
120;大鱼;8.8;蒂姆·波顿;伊万·麦克格雷格;抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
121;甜蜜蜜;8.8;陈可辛;黎明;相逢只要一瞬间，等待却像是一辈子。
122;阳光姐妹淘;8.8;姜炯哲;沈恩京;再多各自牛逼的时光，也比不上一起傻逼的岁月。 
123;无人知晓;9.1;是枝裕和;柳乐优弥;我的平常生活就是他人的幸福。
124;萤火之森;8.9;大森贵弘;佐仓绫音;触不到的恋人。
125;射雕英雄传之东成西就;8.7;刘镇伟;梁朝伟;百看不厌。 
126;驯龙高手;8.7;迪恩·德布洛斯;;和谐的生活离不开摸头与被摸头。
127;超能陆战队;8.7;唐·霍尔;;Balalala~~~
128;幸福终点站;8.8;史蒂文·斯皮尔伯格;汤姆·汉克斯;有时候幸福需要等一等。 
129;借东西的小人阿莉埃蒂;8.8;米林宏昌;志田未来;曾经的那段美好会沉淀为一辈子的记忆。
130;菊次郎的夏天;8.8;北野武;北野武;从没见过那么流氓的温柔，从没见过那么温柔的流氓。
131;爱在日落黄昏时;8.8;理查德·林克莱特;伊桑·霍克;九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
132;恐怖直播;8.8;金秉祐;河正宇;恐怖分子的“秋菊打官司”。
133;完美的世界;9.1;克林特·伊斯特伍德;凯文·科斯特纳;坏人的好总是比好人的好来得更感人。
134;神偷奶爸;8.6;皮艾尔·柯芬;;Mr. I Don't Care其实也有Care的时候。
135;怪兽电力公司;8.7;彼特·道格特;;不要给它起名字，起了名字就有感情了。
136;功夫;8.6;周星驰;周星驰;警恶惩奸，维护世界和平这个任务就交给你了，好吗？
137;人生果实;9.5;伏原健之;津端修一;土壤没有落叶不会肥沃，没有了你就不算人生。
138;玩具总动员3;8.8;李·昂克里奇;汤姆·汉克斯;跨度十五年的欢乐与泪水。
139;血战钢锯岭;8.7;梅尔·吉布森;安德鲁·加菲尔德;优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
140;傲慢与偏见;8.6;乔·怀特;凯拉·奈特莉;爱是摈弃傲慢与偏见之后的曙光。
141;风之谷;8.9;宫崎骏;岛本须美;动画片的圣经。
142;时空恋旅人;8.7;理查德·柯蒂斯;多姆纳尔·格里森;把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
143;天书奇谭;9.2;王树忱;丁建华;传奇的年代，醉人的童话。
144;教父3;8.9;弗朗西斯·福特·科波拉;阿尔·帕西诺;任何信念的力量，都无法改变命运。
145;上帝之城;8.9;费尔南多·梅里尔斯;;被上帝抛弃了的上帝之城。
146;电锯惊魂;8.7;詹姆斯·温;雷·沃纳尔;真相就在眼前。
147;喜宴;8.9;李安;赵文瑄;中国家庭的喜怒哀乐忍。
148;被解救的姜戈;8.7;昆汀·塔伦蒂诺;杰米·福克斯;热血沸腾，那个低俗、性感的无耻混蛋又来了。
149;英雄本色;8.7;吴宇森;周润发;英雄泪短，兄弟情长。 
150;七武士;9.2;黑泽明;三船敏郎;时代悲歌。
151;哪吒闹海;9.1;严定宪;梁正晖;想你时你在闹海。
152;谍影重重3;8.8;保罗·格林格拉斯;马特·达蒙;像吃了苏打饼一样干脆的电影。
153;岁月神偷;8.7;罗启锐;吴君如;岁月流逝，来日可追。
154;我是山姆;8.9;杰茜·尼尔森;Sean;爱并不需要智商 。
